Writer\/director Joe Carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .	5-6
A smart , witty follow-up .	8-9
While the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .	8-9
An infectious cultural fable with a tasty balance of family drama and frenetic comedy .	5-6
Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .	5-6
It provides an honest look at a community striving to anchor itself in new grounds .	7-7
Add yet another hat to a talented head , Clooney 's a good director .	8-9
Building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .	7-7
Chilling , well-acted , and finely directed : David Jacobson 's Dahmer .	5-6
A swashbuckling tale of love , betrayal , revenge and above all , faith .	5-6
Without ever becoming didactic , director Carlos Carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .	7-7
It 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .	5-6
A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .	8-9
Makes even the claustrophobic on-board quarters seem fun .	5-6
This is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it 's necessary .	5-6
One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .	8-9
Not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .	5-6
For the most part Stevens glides through on some solid performances and witty dialogue .	7-7
Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .	5-6
Against all odds in heaven and hell , it creeped me out just fine .	7-7
It 's refreshing to see a girl-power movie that does n't feel it has to prove anything .	8-9
It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .	5-6
A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .	7-7
This surreal Gilliam-esque film is also a troubling interpretation of Ecclesiastes .	5-6
A rewarding work of art for only the most patient and challenge-hungry moviegoers .	7-7
A quiet treasure -- a film to be savored .	8-9
May be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .	7-7
A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .	7-7
Huston nails both the glad-handing and the choking sense of hollow despair .	7-7
may not have generated many sparks , but with his affection for Astoria and its people he has given his tale a warm glow .	5-6
A delirious celebration of the female orgasm .	5-6
Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .	8-9
It 's fascinating to see how Bettany and McDowell play off each other .	5-6
The film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of Joan 's madness .	7-7
Leigh 's film is full of memorable performances from top to bottom .	8-9
One of the most significant moviegoing pleasures of the year .	8-9
Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .	8-9
Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .	7-7
The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in Hollywood 's hastier productions .	8-9
Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .	7-7
It 's a much more emotional journey than what Shyamalan has given us in his past two movies , and Gibson , stepping in for Bruce Willis , is the perfect actor to take us on the trip .	7-7
Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling 's books .	8-9
Jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters	7-7
Beautifully observed , miraculously unsentimental comedy-drama .	8-9
A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .	8-9
Crackerjack entertainment -- nonstop romance , music , suspense and action .	8-9
The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .	8-9
Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .	8-9
The very definition of the ` small ' movie , but it is a good stepping stone for director Sprecher .	5-6
A gripping , searing portrait of a lost soul trying to find her way through life .	5-6
Still , as a visual treat , the film is almost unsurpassed .	8-9
So unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` Safe ! '	7-7
An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .	7-7
So refreshingly incisive is Grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .	5-6
At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .	8-9
The magic of the film lies not in the mysterious spring but in the richness of its performances .	7-7
Hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile ( emphasized here ) accent the humor of Wilson 's plight , and that saves his pathos from drippiness .	5-6
What better message than ` love thyself ' could young women of any size receive ?	7-7
The second coming of Harry Potter is a film far superior to its predecessor .	8-9
A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .	7-7
84 minutes of rolling musical back beat and supercharged cartoon warfare .	5-6
It 's also , clearly , great fun .	8-9
... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport	5-6
Seldahl 's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .	5-6
A warm but realistic meditation on friendship , family and affection .	8-9
Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .	7-7
Turns potentially forgettable formula into something strangely diverting .	7-7
Bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .	5-6
People cinema at its finest .	8-9
The performances take the movie to a higher level .	8-9
what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .	8-9
Manages to transcend the sex , drugs and show-tunes plot into something far richer .	8-9
Dense with characters and contains some thrilling moments .	7-7
LaPaglia 's ability to convey grief and hope works with Weaver 's sensitive reactions to make this a two-actor master class .	7-7
Reign of Fire looks as if it was made without much thought -- and is best watched that way .	7-7
Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .	8-9
We root for ( Clara and Paul ) , even like them , though perhaps it 's an emotion closer to pity .	5-6
The best film about baseball to hit theaters since Field of Dreams .	8-9
Instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .	7-7
the film tunes into a grief that could lead a man across centuries .	5-6
If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .	5-6
( D ) oes n't bother being as cloying or preachy as equivalent evangelical Christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .	7-7
If your taste runs to ` difficult ' films you absolutely ca n't miss it .	7-7
... a story we have n't seen on the big screen before , and it 's a story that we as Americans , and human beings , should know .	7-7
Like Leon , it 's frustrating and still oddly likable .	5-6
All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .	5-6
If you can stomach the rough content , it 's worth checking out for the performances alone .	7-7
Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '	8-9
... Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '	5-6
On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .	8-9
Fun , flip and terribly hip bit of cinematic entertainment .	5-6
Montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .	8-9
Falls neatly into the category of Good Stupid Fun .	7-7
The film 's performances are thrilling .	8-9
Even in its most tedious scenes , Russian Ark is mesmerizing .	5-6
The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .	7-7
Reggio 's continual visual barrage is absorbing as well as thought-provoking .	7-7
It all adds up to good fun .	7-7
A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .	8-9
Sade is an engaging look at the controversial eponymous and fiercely atheistic hero .	5-6
a quiet , pure , elliptical film	7-7
Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	7-7
The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .	5-6
A study in shades of gray , offering itself up in subtle plot maneuvers ...	5-6
The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .	5-6
Has a lot of the virtues of Eastwood at his best .	7-7
Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .	5-6
Though it 's become almost redundant to say so , major kudos go to Leigh for actually casting people who look working-class .	7-7
It deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .	7-7
A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .	7-7
Thanks to Scott 's charismatic Roger and Eisenberg 's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .	8-9
Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .	8-9
It 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of Anna Chancellor that makes this `` Two Weddings and a Funeral '' fun .	8-9
Will amuse and provoke adventurous adults in specialty venues .	8-9
You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	8-9
A film about a young man finding God that is accessible and touching to the marrow .	7-7
For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .	5-6
The film 's snags and stumblings are more than compensated for by its wryly subversive tone .	5-6
Inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .	7-7
Affleck and Jackson are good sparring partners .	7-7
The old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater .	8-9
An effectively creepy , fear-inducing ( not fear-reducing ) film from Japanese director Hideo Nakata , who takes the superstitious curse on chain letters and actually applies it .	8-9
Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .	8-9
A subtle and well-crafted ( for the most part ) chiller .	7-7
Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women , water , nature , and sexuality .	8-9
Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .	7-7
The best revenge may just be living well because this film , unlike other Dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .	7-7
A delectable and intriguing thriller filled with surprises , Read My Lips is an original .	8-9
This is a story of two misfits who do n't stand a chance alone , but together they are magnificent .	7-7
Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .	5-6
One of creepiest , scariest movies to come along in a long , long time , easily rivaling Blair Witch or The Others .	5-6
Maud and Roland 's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .	8-9
Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .	8-9
Rare Birds has more than enough charm to make it memorable .	7-7
Manages to be sweet and wickedly satisfying at the same time .	8-9
No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .	8-9
The movie is n't just hilarious : It 's witty and inventive , too , and in hindsight , it is n't even all that dumb .	8-9
Old-form moviemaking at its best .	8-9
Ahhhh ... revenge is sweet !	7-7
Yakusho and Shimizu ... create engaging characterizations in Imamura 's lively and enjoyable cultural mix .	8-9
You will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .	5-6
Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .	5-6
In spite of Good Housekeeping 's unsavory characters and WWF mentality , this white trash War of the Roses is a surprisingly engaging film .	5-6
Collateral Damage finally delivers the goods for Schwarzenegger fans .	5-6
There has always been something likable about the Marquis de Sade .	7-7
As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .	7-7
For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .	8-9
By the time we learn that Andrew 's Turnabout Is Fair Play is every bit as awful as Borchardt 's Coven , we can enjoy it anyway .	5-6
A tender , heartfelt family drama .	7-7
A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .	7-7
For the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .	8-9
It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .	7-7
( Chaiken 's ) talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters .	7-7
Huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .	5-6
My thoughts were focused on the characters .	7-7
That is a compliment to Kuras and Miller .	5-6
One of the more intelligent children 's movies to hit theaters this year .	8-9
Not for the prurient or squeamish , it 's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .	5-6
A cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .	5-6
Travels a fascinating arc from hope and euphoria to reality and disillusionment .	5-6
There 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like Steven Spielberg to follow A.I. with this challenging report so liable to unnerve the majority .	7-7
For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it 's an eye-opener .	5-6
It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .	7-7
An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .	7-7
The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .	7-7
It inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . '	8-9
Awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '	8-9
By candidly detailing the politics involved in the creation of an extraordinary piece of music , ( Jones ) calls our attention to the inherent conflict between commerce and creativity .	7-7
It 's unnerving to see Recoing 's bizzarre reaction to his unemployment .	5-6
Good film , but very glum .	7-7
Much as we might be interested in gratuitous sexualization , Haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .	5-6
Dazzling in its complexity , disturbing for its extraordinary themes , The Piano Teacher is a film that defies categorisation .	8-9
It haunts , horrifies , startles and fascinates ; it is impossible to look away .	8-9
Ah yes , and then there 's the music ...	5-6
It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .	7-7
It is great summer fun to watch Arnold and his buddy Gerald bounce off a quirky cast of characters .	7-7
Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .	5-6
This flick is about as cool and crowd-pleasing as a documentary can get .	8-9
The Wild Thornberrys Movie is a jolly surprise .	7-7
Griffiths proves she 's that rare luminary who continually raises the standard of her profession .	8-9
Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .	5-6
Offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .	5-6
An important movie , a reminder of the power of film to move us and to make us examine our values .	8-9
Binoche makes it interesting trying to find out .	8-9
The mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	8-9
Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .	5-6
Two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .	8-9
It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .	7-7
Candid Camera on methamphetamines .	5-6
Equilibrium is what George Orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .	5-6
This disturbing bio-pic is hard to forget .	5-6
Martin and Barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by Sven Wollter and Viveka Seldahl make their hopes and frustrations vivid .	8-9
A twisty , moody slice of Southern Gothic ...	5-6
It 's so good that you can practically see the Hollywood ` suits ' trying to put together the cast and filmmaking team for the all-too - inevitable American remake .	5-6
The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	7-7
` They ' begins and ends with scenes so terrifying I 'm still stunned .	5-6
And I 've decided to leave a light on every night from now on .	5-6
This tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , Nicholas Meyer 's Star Trek VI : The Undiscovered Country .	7-7
... with `` The Bourne Identity '' we return to the more traditional action genre .	5-6
Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .	5-6
The film is a contrivance , as artificial as the video games Japanese teens play in a nightclub sequence , but it 's an enjoyable one .	5-6
Holm ... embodies the character with an effortlessly regal charisma .	8-9
It is amusing , and that 's all it needs to be .	8-9
Among the year 's most intriguing explorations of alientation .	8-9
A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .	7-7
Seldom has a movie so closely matched the spirit of a man and his work .	8-9
Audrey Tatou has a knack for picking roles that magnify her outrageous charm , and in this literate French comedy , she 's as morning-glory exuberant as she was in Amélie .	7-7
The movie has an infectious exuberance that will engage anyone with a passing interest in the skate\/surf culture , the L.A. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults .	8-9
Even if you do n't think ( Kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .	5-6
The story and structure are well-honed .	7-7
Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .	5-6
It 's made with deftly unsettling genre flair .	5-6
It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself .	7-7
Funny but perilously slight .	5-6
Overall very good for what it 's trying to do .	7-7
Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .	5-6
Ramsay , as in Ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .	7-7
A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .	8-9
It proves quite compelling as an intense , brooding character study .	7-7
The Son 's Room is a triumph of gentility that earns its moments of pathos .	5-6
Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .	7-7
The film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the Catholic doctrine	7-7
A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .	7-7
One of the smartest takes on singles culture I 've seen in a long time .	8-9
There is a fabric of complex ideas here , and feelings that profoundly deepen them .	5-6
CQ 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .	7-7
The emotions are raw and will strike a nerve with anyone who 's ever had family trauma .	7-7
Holy mad maniac in a mask , Splat-Man !	5-6
Good old-fashioned slash-and-hack is back !	5-6
As unseemly as its title suggests .	5-6
The French are rather good at this kind of thing , unlike the Americans , who have a passion for Musketeers , only to spoof them .	5-6
The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .	5-6
It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .	7-7
Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .	7-7
It has the ability to offend and put off everyone , but it holds you with its outrageousness .	5-6
Anchored by Friel and Williams 's exceptional performances , the film 's power lies in its complexity .	8-9
Nothing is black and white .	5-6
It 's a charming and often affecting journey .	8-9
No screen fantasy-adventure in recent memory has the showmanship of Clones ' last 45 minutes .	8-9
A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .	8-9
The Chateau cleverly probes the cross-cultural differences between Gauls and Yanks .	5-6
Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .	7-7
Aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .	5-6
Uses high comedy to evoke surprising poignance .	8-9
It confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .	8-9
Vera 's three actors -- Mollà , Gil and Bardem -- excel in insightful , empathetic performances .	8-9
A marvel like none you 've seen .	7-7
With tightly organized efficiency , numerous flashbacks and a constant edge of tension , Miller 's film is one of 2002 's involvingly adult surprises .	7-7
Mr. Tsai is a very original artist in his medium , and What Time Is It There ?	8-9
should be seen at the very least for its spasms of absurdist humor .	5-6
Writer\/director Mark Romanek spotlights the underlying caste system in America .	5-6
This is a good script , good dialogue , funny even for adults .	8-9
The characters are interesting and often very creatively constructed from figure to backstory .	8-9
The film will play equally well on both the standard and giant screens .	7-7
Moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .	5-6
Not a film to rival To Live , but a fine little amuse-bouche to keep your appetite whetted .	5-6
True tale of courage -- and complicity -- at Auschwitz is a harrowing drama that tries to tell of the unspeakable .	5-6
Gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .	7-7
MacDowell , whose wifty Southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .	7-7
What Time Is It There ?	5-6
It haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .	5-6
if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then Esther 's story is a compelling quest for truth .	7-7
Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .	5-6
For movie lovers as well as opera lovers , Tosca is a real treat .	8-9
Challenging , intermittently engrossing and unflaggingly creative .	8-9
The vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .	5-6
A painfully funny ode to bad behavior .	7-7
` Easily my choice for one of the year 's best films . '	8-9
Charles ' entertaining film chronicles Seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic Adams ' attempts to get his shot at the big time .	5-6
That dogged good will of the parents and ` vain ' Jia 's defoliation of ego , make the film touching despite some doldrums .	7-7
The movie is for fans who ca n't stop loving anime , and the fanatical excess built into it .	5-6
The volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-Hollywood that it seems positively French in its rhythms and resonance .	7-7
A densely constructed , highly referential film , and an audacious return to form that can comfortably sit among Jean-Luc Godard 's finest work .	8-9
Michael Gerbosi 's script is economically packed with telling scenes .	8-9
A strangely compelling and brilliantly acted psychological drama .	8-9
Candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .	8-9
Open-minded kids -- kids who read , kids who dream -- will be comforted by the way it deals with big issues like death and destiny .	5-6
Bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch Some Body first .	8-9
... a good , if not entirely fresh , look at war .	5-6
The film is powerful , accessible and funny .	8-9
You wo n't miss its messages , but you 'll be entertained as well .	5-6
If you dig on David Mamet 's mind tricks ... rent this movie and enjoy !	8-9
The primitive force of this film seems to bubble up from the vast collective memory of the combatants .	7-7
It is the sheer , selfish , wound-licking , bar-scrapping doggedness of Leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .	5-6
A gorgeous , high-spirited musical from India that exquisitely blends music , dance , song , and high drama .	8-9
It 's hard to imagine Alan Arkin being better than he is in this performance .	7-7
Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .	5-6
... a fun little timewaster , helped especially by the cool presence of Jean Reno .	5-6
Though only 60 minutes long , the film is packed with information and impressions .	7-7
I have no way of knowing exactly how much is exaggeration , but I 've got a creepy feeling that the film is closer to the mark than I want to believe .	5-6
Immersing us in the endlessly inventive , fiercely competitive world of hip-hop DJs , the project is sensational and revelatory , even if scratching makes you itch .	7-7
Further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of Dubya 's Axis of Evil .	5-6
There 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .	7-7
A simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .	8-9
Lovely and poignant .	8-9
Puts a human face on a land most Westerners are unfamiliar with .	7-7
